t_rel_s,code,label,time_unix,time_lsl,time_perf,offset_unix_minus_lsl,time_webapp,webapp_minus_local_ms,inserted_to_board,raw
107.399040,411.000000,411,1788108843.838217,326170.970201,101005.855680,1787782672.868016,1788108843.836000,-2.217293,True,"{""marker"":411,""timestamp"":1788108843.836}"
107.399172,420.000000,420,1788108843.838349,326170.970331,101005.855810,1787782672.868018,1788108843.836000,-2.349138,True,"{""marker"":420,""timestamp"":1788108843.836}"
107.842624,431.000000,431,1788108844.281801,326171.413785,101006.299266,1787782672.868016,1788108844.280000,-1.801014,True,"{""marker"":431,""timestamp"":1788108844.28}"
108.964678,441.000000,441,1788108845.403855,326172.535841,101007.421324,1787782672.868015,1788108845.402000,-1.855373,True,"{""marker"":441,""timestamp"":1788108845.402}"
108.965179,401.000000,401,1788108845.404356,326172.536339,101007.421820,1787782672.868017,1788108845.402000,-2.356529,True,"{""marker"":401,""timestamp"":1788108845.402}"
112.351322,120.000000,120,1788108848.790499,326175.922510,101010.807996,1787782672.867989,1788108848.788000,-2.498865,True,"{""marker"":120,""timestamp"":1788108848.788}"
114.357945,121.000000,121,1788108850.797122,326177.929098,101012.814580,1787782672.868024,1788108850.796000,-1.121998,True,"{""marker"":121,""timestamp"":1788108850.796}"
114.358447,202.000000,202,1788108850.797624,326177.929600,101012.815080,1787782672.868024,1788108850.796000,-1.624107,True,"{""marker"":202,""timestamp"":1788108850.796}"
115.382478,220.000000,220,1788108851.821655,326178.953631,101013.839113,1787782672.868024,1788108851.820000,-1.655340,True,"{""marker"":220,""timestamp"":1788108851.82}"
115.700036,220.000000,220,1788108852.139213,326179.271190,101014.156673,1787782672.868023,1788108852.138000,-1.212835,True,"{""marker"":220,""timestamp"":1788108852.138}"
115.700342,301.000000,301,1788108852.139519,326179.271493,101014.156973,1787782672.868026,1788108852.138000,-1.518965,True,"{""marker"":301,""timestamp"":1788108852.138}"
116.017684,311.000000,311,1788108852.456861,326179.588837,101014.474320,1787782672.868024,1788108852.456000,-0.861406,True,"{""marker"":311,""timestamp"":1788108852.456}"
117.504570,321.000000,321,1788108853.943747,326181.075723,101015.961206,1787782672.868024,1788108853.942000,-1.747131,True,"{""marker"":321,""timestamp"":1788108853.942}"
118.179709,341.000000,341,1788108854.618886,326181.750859,101016.636341,1787782672.868027,1788108854.617000,-1.885891,True,"{""marker"":341,""timestamp"":1788108854.617}"
118.724876,220.000000,220,1788108855.164053,326182.296025,101017.181506,1787782672.868028,1788108855.163000,-1.052856,True,"{""marker"":220,""timestamp"":1788108855.163}"
119.101958,220.000000,220,1788108855.541135,326182.673107,101017.558590,1787782672.868028,1788108855.539000,-2.134800,True,"{""marker"":220,""timestamp"":1788108855.539}"
119.102421,301.000000,301,1788108855.541598,326182.673569,101017.559048,1787782672.868029,1788108855.540000,-1.598358,True,"{""marker"":301,""timestamp"":1788108855.54}"
119.739498,311.000000,311,1788108856.178675,326183.310645,101018.196127,1787782672.868030,1788108856.177000,-1.674652,True,"{""marker"":311,""timestamp"":1788108856.177}"
120.768348,321.000000,321,1788108857.207525,326184.339494,101019.224976,1787782672.868032,1788108857.206000,-1.525402,True,"{""marker"":321,""timestamp"":1788108857.206}"
